callsign,flowntime[s],flowndistance[NM],fuel[kg],CO2[kg],H2O[kg],Soot[kg],SOx[kg],NOx[kg],CO[kg],HC[kg]
SVA038,42571.0,6062.27794147,35988.29716726412,113723.01904855514,44265.60551573554,1.0796489150179363,43.185956600717006,524.1789475473263,72.30511514644085,6.8313341823590035
GTI4326,36509.0,4628.05646798,28232.47906769798,89214.63385392576,34725.949253268205,0.8469743720309426,33.87897488123765,386.3173890586352,62.70450754113198,5.536384853078031
KLM602,42664.0,4944.85653268,33971.282547093135,107349.25284881517,41784.67753292467,1.0191384764127878,40.76553905651155,459.38296395163826,67.1332205104482,5.649854185539795
DAL444,30456.0,3780.39807741,24474.092039003957,77338.13084325289,30103.13320797477,0.7342227611701179,29.36891044680514,345.0832689295208,49.6371442604993,4.343308712034597
DLH457,36888.0,5079.38085106,29092.473692502244,91932.2168683079,35783.74264177796,0.872774210775073,34.91096843100276,417.74698816532003,61.67372308325298,6.107965038434703
DLH491,35642.0,4602.96279074,71538.52942818242,226061.7529930574,87992.39119666402,2.1461558828454788,85.84623531381837,1156.1257233232268,136.82695371658278,3.947131579868819
UAL931,28934.0,3473.31995419,23127.544888795794,73083.04184859512,28446.88021321904,0.6938263466638748,27.75305386655516,331.80581041777015,45.64185383933222,4.002185065884747
UAL952,29759.0,3964.6008425,23830.3995037485,75304.06243184539,29311.39138961024,0.7149119851124474,28.5964794044981,353.4498825607384,48.68873674091097,4.725533583516909
UAL990,40791.0,5022.47056175,29928.892467734135,94575.3001980396,36812.53773531327,0.8978667740320171,35.91467096128116,417.7246713263037,66.44882079628063,6.527600332213782
KLM676,29810.0,3843.55977249,56351.11310616954,178069.51741549518,69311.86912058812,1.6905333931850686,67.62133572740333,956.2731474356932,109.89742455136766,3.6463847084083203
BAW282,38971.0,4823.6448881,28858.719405329302,91193.55332084067,35496.22486855507,0.8657615821598864,34.63046328639538,413.1352610327848,59.57056862418346,5.501193180136709
AFR019,28912.0,3242.10933098,20750.172150554095,65570.54399575127,25522.711745181696,0.6225051645166206,24.90020658066479,305.96833221737944,41.94069617389162,4.154663194910657
NRS7108,35762.0,4659.03323525,27069.391263994108,85539.27639422099,33295.35125471267,0.812081737919818,32.483269516793186,406.4150742592173,53.39585655476978,5.458427178626667
DAL476,31761.0,3354.25224028,57013.046699449755,180161.22757026178,70126.04744032376,1.7103914009834875,68.41565603933921,944.679640680362,115.56719376966052,4.17726730369207
CFG063,38978.0,4945.08573928,29319.01364022286,92648.08310310409,36062.38677747413,0.879570409206686,35.182816368267346,432.385965142835,57.271320722681324,5.533547570870435
DAL162,31790.0,3626.12931302,22311.01708009381,70502.81397309632,27442.55100851524,0.6693305124028063,26.773220496112412,326.7943827749227,45.740127810894485,4.338767831256016
AFR689,34468.0,3886.83714327,23511.105975366983,74295.0948821587,28918.660349701044,0.7053331792609996,28.213327170440216,340.8217887023585,50.0721496439304,4.942731302333837
UAL923,39785.0,4810.60949196,27336.862441240544,86384.48531431964,33624.340802725776,0.8201058732372195,32.804234929488665,400.57394187213976,56.79831483453844,5.8431595985159746
KLM606,42228.0,4862.32482601,29830.801511313057,94265.33277574988,36691.885858914924,0.8949240453393894,35.796961813575486,430.78666405596226,60.270493044535925,5.686618548932641
VIR6J,37490.0,3907.46566013,64394.61269090988,203486.97610327607,79205.37360981906,1.9318383807272868,77.2735352290922,1066.0852271134993,122.84692918532515,3.7825051664234683
