callsign,flowntime[s],flowndistance[NM],fuel[kg],CO2[kg],H2O[kg],Soot[kg],SOx[kg],NOx[kg],CO[kg],HC[kg]
SVA038,42708.0,6062.27708311,36091.977826574934,114050.64993197788,44393.13272668692,1.0827593347972562,43.31037339188975,525.5455485511236,72.52714795940659,6.850132786570989
GTI4326,36393.0,4628.12550191,28153.363510134055,88964.62869202351,34628.6371174649,0.844600905304026,33.78403621216088,385.3574882934531,62.5106716111981,5.520907194885009
KLM602,42619.0,4944.87696373,33948.58421863113,107277.52613087492,41756.75858891645,1.0184575265589288,40.73830106235793,459.17609611379567,66.93855852566112,5.631453044385133
DAL444,30564.0,3780.32787445,24550.155684576876,77578.49196326268,30196.691492029415,0.736504670537292,29.460186821491956,346.02325510179037,49.80943523275624,4.356791981631313
DLH457,36884.0,5079.35534116,29090.660801565667,91926.48813294776,35781.51278592618,0.872719824046968,34.908792961878675,417.7392110284846,61.66660022279137,6.1075747085663235
DLH491,35708.0,4602.98863243,71656.08896766829,226433.24113783173,88136.98943023192,2.1496826690300614,85.98730676120222,1157.734988514017,137.07338319175727,3.952005508297196
UAL931,28872.0,3473.32987216,23079.64362357519,72931.67385049783,28387.961656997617,0.6923893087072626,27.695572348290344,331.17754292164716,45.54992123734557,3.9949346847887264
UAL952,29766.0,3964.52120626,23839.84441065097,75333.90833765703,29323.008625100876,0.7151953323195308,28.60781329278141,353.602254295682,48.72869674388517,4.729895909251875
UAL990,40793.0,5022.38792294,29925.073400665122,94563.2319461034,36807.840282818375,0.8977522020199642,35.91008808079871,417.63872761282437,66.47973993376763,6.530107516546865
KLM676,29816.0,3843.54322689,56364.66231952771,178112.33292970716,69328.53465301915,1.6909398695858302,67.63759478343314,956.4929839017449,109.91287849650699,3.645838537554036
BAW282,38931.0,4823.63552285,28829.333064477985,91100.69248375109,35460.079669307874,0.8648799919343428,34.59519967737357,412.76859858428287,59.51032728932243,5.496609283141934
AFR019,28881.0,3242.11755794,20726.57491712228,65495.9767381061,25493.687148060504,0.6217972475136706,24.871889900546634,305.6650543963485,41.88287990595464,4.149575019404256
NRS7108,35760.0,4659.05771143,27067.385741487557,85532.93894309975,33292.8844620292,0.812021572244618,32.480862889784625,406.3868914202304,53.39373177985899,5.458250672438533
DAL476,31753.0,3354.23302847,56995.683696822736,180106.3604819582,70104.69094709052,1.7098705109046524,68.39482043618648,944.4483012888642,115.52053888244883,4.1749680706141055
