callsign,flowntime[s],flowndistance[NM],fuel[kg],CO2[kg],H2O[kg],Soot[kg],SOx[kg],NOx[kg],CO[kg],HC[kg]
SVA038,42647.0,6062.24231986,36043.23283097327,113896.61574587548,44333.176382097576,1.0812969849292018,43.251879397168004,524.8725587723857,72.42833837526084,6.841339238106037
GTI4326,36336.0,4628.08425487,28114.869083296348,88842.98630321572,34581.288972453905,0.8434460724988871,33.73784289995534,384.8810713521118,62.427388038057465,5.514303558595575
KLM602,42731.0,4944.86139232,34010.825944412034,107474.20998434172,41833.315911627375,1.0203247783323524,40.812991133294105,459.7944194295757,67.28478896536053,5.6621295445811635
DAL444,30560.0,3780.28646959,24549.95308021031,77577.85173346447,30196.442288658665,0.7364985924063034,29.45994369625247,346.0485470768538,49.78373730331206,4.354546801067915
DLH457,36744.0,5079.36439304,29000.780236418064,91642.46554708127,35670.959690793956,0.8700234070925409,34.80093628370169,416.680767836196,61.37950455626619,6.083740759442361
DLH491,35593.0,4602.96873299,71462.45108688022,225821.34543454123,87898.81483686369,2.1438735326064213,85.75494130425645,1155.2023293154396,136.49423890305167,3.924716380774179
UAL931,28823.0,3473.35265956,23045.65344554842,72824.26488793267,28346.153738024528,0.6913696033664531,27.654784134657998,330.7622784604446,45.470118175877815,3.9887417941240075
UAL952,29746.0,3964.53415389,23824.796045760082,75286.35550460151,29304.49913628487,0.7147438813727932,28.589755254911626,353.405456728973,48.70097856970878,4.727543353322655
UAL990,40716.0,5022.56443674,29873.596171396857,94400.56390161416,36744.52329081829,0.8962078851419142,35.84831540567645,417.0034947830588,66.38121379109256,6.522879700410451
KLM676,29856.0,3843.5574701,56421.093919944076,178290.6567870244,69397.94552153161,1.6926328175983407,67.7053127039334,957.2314369694387,110.22392347227299,3.669712077188057
BAW282,38893.0,4823.65616268,28805.479260752894,91025.31446397974,35430.73949072593,0.8641643778225871,34.56657511290322,412.48469548906104,59.48244206002605,5.495356441462205
AFR019,28912.0,3242.10807106,20749.33548885015,65567.90014476662,25521.68265128587,0.6224800646655054,24.89920258662017,305.96097206416687,41.931830993451165,4.153826240616211
NRS7108,35754.0,4659.05545767,27063.422514415965,85520.41514555366,33288.009692731684,0.8119026754324724,32.476107017299164,406.32804022067035,53.390601117384875,5.457808953514927
DAL476,31773.0,3354.24099368,57034.353749022506,180228.55784691143,70152.25511129809,1.711030612470682,68.44122449882717,945.0678358081187,115.57061351503026,4.173864531260846
CFG063,38967.0,4945.13899883,29314.377740351752,92633.43365951089,36056.68462063244,0.8794313322105508,35.17725328842197,432.3259333529625,57.22242895901199,5.528440948293777
DAL162,31802.0,3626.15380558,22320.96124174754,70534.23752392185,27454.782327349196,0.6696288372524232,26.78515349009712,326.92854127745517,45.77410193820067,4.342127980904012
