callsign,flowntime[s],flowndistance[NM],fuel[kg],CO2[kg],H2O[kg],Soot[kg],SOx[kg],NOx[kg],CO[kg],HC[kg]
SVA038,42453.0,6062.24566915,35902.42355667935,113451.65843910622,44159.98097471587,1.0770727067003858,43.08290826801558,523.0835482694416,72.10988957451528,6.815164843260097
GTI4326,36456.0,4628.06939568,28198.24057090098,89106.44020404742,34683.835902207706,0.845947217127026,33.83788868508133,385.9305673973678,62.62234233787185,5.530536715197067
KLM602,42682.0,4944.89535447,33983.73016072217,107388.58730788183,41799.98809768828,1.0195119048216577,40.78047619286665,459.50453970875213,67.16534482773875,5.651841513069988
DAL444,30407.0,3780.43787844,24442.79418206691,77239.22961533148,30064.636843942284,0.7332838254620027,29.331353018480357,344.7128996791442,49.5542719364199,4.336564186031763
DLH457,36744.0,5079.3621482,28993.086681096273,91618.15391226429,35661.49661774831,0.8697926004328875,34.7917040173155,416.5300660415937,61.425547415830465,6.087897660299457
DLH491,35583.0,4602.93394634,71431.86439322519,225724.69148258833,87861.19320366664,2.1429559317967684,85.71823727186936,1154.6441094090392,136.58097941643075,3.940042037365627
UAL931,28874.0,3473.32770512,23084.065936314655,72945.64835875414,28393.40110166709,0.6925219780894442,27.70087912357765,331.2891264341519,45.53976284662287,3.9945457671233915
UAL952,29609.0,3964.73212222,23717.914352687025,74948.60935449098,29173.034653804978,0.7115374305806076,28.461497223224356,351.94121786536755,48.429884740082855,4.702023360224669
UAL990,40727.0,5022.46671803,29886.565981129275,94441.54850036786,36760.4761567893,0.8965969794338853,35.863879177355315,417.21130467453145,66.33377401766182,6.517828100906378
KLM676,29762.0,3843.56338894,56256.36306119271,177770.10727336953,69195.32656526774,1.6876908918357985,67.50763567343168,954.7672906384311,109.7474157352903,3.645558505910845
BAW282,38944.0,4823.66643531,28840.08199803699,91134.6591137965,35473.30085758489,0.8652024599411005,34.60809839764374,412.91235690667787,59.52897387354731,5.498048048263584
AFR019,29043.0,3242.06982407,20834.172378309457,65835.98471545806,25626.03202532073,0.6250251713492784,25.00100685397138,307.0037188329276,42.16596804516719,4.1739154335850595
NRS7108,35715.0,4659.04484284,27032.70788687498,85423.3569225244,33250.230700856075,0.8109812366062439,32.43924946425007,405.9173841213985,53.31828552572165,5.451250167248504
DAL476,31734.0,3354.24462629,56962.36690319292,180001.07941409003,70063.71129092769,1.7088710070957898,68.35484028383216,943.9987116668098,115.44510002552082,4.172968627414979
CFG063,38964.0,4945.14831975,29311.275871668327,92623.6317544723,36052.869322152146,0.8793382761500533,35.173531046002225,432.3156199500005,57.247761493157114,5.5320008655272375
DAL162,31758.0,3626.13081294,22286.94303901701,70426.7400032938,27412.93993799095,0.6686082911705148,26.7443316468208,326.4803138884382,45.685578259533585,4.33410514203116
AFR689,34518.0,3886.81451262,23548.337756496152,74412.74731052865,28964.4554404904,0.7064501326948854,28.258005307795415,341.30985510710815,50.15992920665214,4.950610364993425
UAL923,39761.0,4810.58785797,27321.229756230823,86335.08602968947,33605.112600163775,0.8196368926869274,32.78547570747696,400.38641373325345,56.7545413841631,5.839373782026017
KLM606,42168.0,4862.3195769,29787.172041181617,94127.46365013419,36638.22161065324,0.8936151612354499,35.74460644941772,430.2215406305129,60.17139722703717,5.67793987936906
VIR6J,37794.0,3907.50313964,64967.92081421771,205298.62977292735,79910.542601488,1.9490376244265366,77.96150497706093,1074.2500149130408,124.03871399935544,3.813274598568902
VIR106F,37947.0,4204.24308822,24636.424198420096,77851.10046700836,30302.801764057014,0.739092725952601,29.563709038104154,355.03693710159206,52.09409729048012,5.134706759928931
NRS4BX,41248.0,4779.66550911,27716.821481191706,87585.15588056653,34091.690421866115,0.83150464443575,33.26018577743024,410.09628305055776,56.12308522456455,5.712270092393505
THY80L,54984.0,6027.2215441,36700.58719031096,115973.85552138407,45141.72224408256,1.1010176157093259,44.040704628373796,508.93666434071145,79.58381760039148,6.999482259967882
ISS9BG,35943.0,3554.71474844,55590.985475174784,175667.51410155158,68376.91213446404,1.667729564255226,66.7091825702096,951.7068601938697,112.56727725565705,4.170658549935761
THY10,56319.0,6183.92048405,37509.54490723888,118530.16190687394,46136.740235902915,1.125286347217165,45.0114538886864,520.0810146483564,81.05869096639212,7.143815329713742
BAW280,42059.0,4828.07555113,27666.246826731604,87425.33997247173,34029.48359687985,0.8299874048019472,33.19949619207792,414.32001297382925,54.44416826448973,5.52308283549553
ETD76T,58994.0,6485.16169654,39246.14284137706,124017.81137875155,48272.75569489418,1.1773842852413492,47.095371409653346,551.5374857579735,81.7829473077384,7.199967962503212
UAE5RQ,37376.0,3554.88894785,21881.866095597496,69146.69686208759,26914.69529758486,0.6564559828679232,26.258239314716928,320.97243239383147,48.12896056085703,4.869438957702859
BAW89P,44558.0,4755.7377989,26908.92639321723,85032.20740256616,33097.97946365742,0.8072677917965226,32.29071167186066,385.38075167262167,57.271914381322645,5.692206682393849
VIR20V,44908.0,4687.79622359,27298.440513455123,86263.07202251877,33577.0818315506,0.8189532154036623,32.7581286161464,390.6163193101262,57.599424516212096,5.496954174375377
ETD140,57285.0,6148.53674227,36506.94838705003,115361.95690307599,44903.54651607164,1.095208451611501,43.808338064460024,512.1979763803265,77.5115338728637,6.974499402924451
AZA61CM,39843.0,3789.23976344,57921.67563069853,183032.49499300614,71243.6610257593,1.7376502689209572,69.50601075683804,971.7869066576546,109.61874446227777,3.260709679974074
ACA836,37503.0,3332.31669974,20714.780090933098,65458.70508734845,25479.17951184767,0.621443402727996,24.85773610911971,300.07195978089976,43.93999420967362,4.152917669838245
UAL938,38853.0,3473.34370829,22260.342442556743,70342.68211847969,27380.221204344976,0.6678102732767035,26.71241093106808,326.5401981014201,43.54483147444332,4.010783609618139
BAW72A,47693.0,4839.68040611,28851.516974961505,91170.79364087811,35487.365879202625,0.865545509248837,34.621820369953696,413.17496364809966,57.96979550257357,5.350208251651887
