identifier,base_fid,direction,actype,origin,destination,spawn_time,del_time,spawn_lat,spawn_lon,spawn_alt_ft,spawn_mass_kg,n_waypoints
287226048,287226048,eastbound,A332,KJFK,LYBE,20:42:22.66,25:24:41.76,50.002348,-53.011712,39245.0,202139.75010024162,73
287230055,287230055,westbound,A333,LPPT,BIKF,20:52:37.13,23:39:07.69,44.140609,-10.237936,39358.0,184755.2329991418,48
287228106,287228106,eastbound,A339,KBOS,LGAV,20:58:56.00,25:48:42.71,49.146963,-52.895145,38829.0,213207.71702904988,70
287223817,287223817,eastbound,B744,KIAH,EBLG,21:03:15.78,25:37:34.86,53.440503,-56.435238,38249.0,293427.45438958926,68
287228710,287228710,eastbound,E550,KFOK,EINN,21:19:36.87,25:01:15.62,50.57825,-54.223214,43470.0,9757.848170826326,63
287226057,287226057,eastbound,A332,KJFK,LROP,21:26:23.85,26:15:37.59,51.361186,-54.249273,38984.0,204623.55528139806,71
287230807,287230807,westbound,B788,EGLL,SKBO,21:34:25.43,27:31:04.27,50.157343,-6.233344,40347.0,194218.1047459717,79
287229509,287229509,eastbound,A339,KBOS,EDDF,22:00:59.57,27:08:18.08,50.961318,-54.743023,39805.0,202432.15505532405,88
287230493,287230493,westbound,A333,LEAL,BIKF,22:02:44.20,24:43:38.16,45.554873,-6.919815,39425.0,184960.45048222132,45
287228797,287228797,eastbound,A333,KJFK,LGAV,22:03:34.30,26:55:25.43,48.89244,-52.374735,38964.0,189904.3063802705,67
287230296,287230296,eastbound,B772,MDPC,EGKK,22:18:31.53,28:31:53.31,26.310997,-57.887119,38657.0,229696.85946305477,106
287228423,287228423,eastbound,B748,KSDF,EDDK,22:19:27.60,26:55:21.14,53.261262,-55.672289,37137.0,371170.2283906739,81
287229663,287229663,eastbound,A339,KJFK,EDDF,22:20:59.13,27:29:06.28,51.387571,-55.220602,39783.0,202942.15270657634,88
287231185,287231185,westbound,B789,EGLL,MMMX,22:26:38.07,28:15:35.61,50.280191,-6.247149,38973.0,219368.73418417832,74
287229339,287229339,eastbound,A343,KIAD,EDDF,22:33:46.51,27:37:58.00,51.542513,-55.253409,38144.0,210020.1572889711,87
287230154,287230154,eastbound,A339,KBOS,LIRF,22:37:30.83,27:32:00.06,49.177115,-52.819805,39447.0,206480.21154738855,83
287230195,287230195,eastbound,A333,KBOS,LEMD,22:38:47.34,27:18:21.64,47.075503,-52.792449,38729.0,191636.4221186231,80
287229115,287229115,eastbound,B744,KJFK,EDDF,22:41:28.21,27:26:51.78,51.704568,-55.006645,38961.0,289264.38356626197,87
287230106,287230106,eastbound,B763,KJFK,EKCH,22:43:19.44,27:47:46.98,52.455067,-55.996308,40323.0,155360.51243394733,89
287230429,287230429,eastbound,B772,CYYZ,EHAM,22:44:01.28,27:13:00.97,53.104198,-56.404099,39305.0,217554.96489857617,84
287230104,287230104,eastbound,A333,CYYZ,EDDF,22:45:25.47,27:52:32.13,53.221707,-56.742885,38918.0,189592.4221468882,87
287229463,287229463,eastbound,B744,KORD,EDFH,22:45:33.23,27:29:46.00,53.684049,-56.861992,37325.0,291270.0561448784,84
287229859,287229859,eastbound,B763,KEWR,LIRN,22:50:09.73,27:37:00.10,50.005958,-53.049273,39798.0,160197.99849981567,77
287230899,287230899,eastbound,B789,MDPC,EGCC,22:53:00.04,29:00:55.24,26.226486,-57.723139,40519.0,198546.7209050429,106
287230090,287230090,eastbound,B77W,KJFK,LFPG,22:54:06.69,27:25:19.41,50.915602,-54.759688,40092.0,267417.4051909731,83
287229876,287229876,eastbound,A333,KJFK,LSZH,22:56:12.81,28:01:43.79,51.030695,-54.633569,38913.0,190062.60674858172,86
287230858,287230858,eastbound,A332,KBOS,LIRF,23:01:49.96,27:47:32.02,48.886743,-53.190169,39445.0,199405.17096729073,83
287230321,287230321,eastbound,B788,KPHL,LGAV,23:02:59.25,27:39:24.36,49.303841,-53.034155,41272.0,178438.12724212543,66
287230504,287230504,eastbound,A339,KBOS,EHAM,23:03:57.65,27:47:17.64,50.769442,-54.430501,40003.0,200295.3041588066,82
287223120,287223120,eastbound,B788,MMMX,LEMD,23:04:40.47,27:31:44.33,48.693112,-53.089726,42147.0,156495.23165309362,57
287230661,287230661,eastbound,A333,KJFK,EIDW,23:06:49.12,26:58:57.28,50.592579,-54.143482,38915.0,190140.41241948967,67
287228396,287228396,eastbound,A332,KATL,LIRN,23:08:08.22,27:55:32.98,51.246818,-54.562124,39460.0,201319.94862252366,66
287228978,287228978,eastbound,A333,KRDU,EDDF,23:08:44.49,28:16:23.41,51.883492,-54.96712,39327.0,186925.6318710983,82
287228846,287228846,eastbound,B763,KATL,LFPG,23:09:31.90,27:48:08.61,51.701776,-54.254593,40485.0,154875.87355533784,76
287231234,287231234,westbound,B744,EBLG,KRFD,23:09:39.66,27:37:49.06,55.05596,-8.448767,38216.0,304071.6542580011,79
287230704,287230704,eastbound,B789,CYUL,LFPG,23:11:15.97,27:45:55.31,52.037171,-55.672736,41141.0,190008.15314322617,84
287229888,287229888,eastbound,A343,KDTW,EDDF,23:11:41.87,28:18:31.72,53.701002,-57.31702,36917.0,210754.25209685107,88
287230443,287230443,eastbound,A359,KJFK,LEMD,23:13:15.15,27:42:49.79,46.837551,-52.722159,40195.0,221534.68055066522,78
287230761,287230761,eastbound,B789,KJFK,LIRF,23:15:44.04,27:55:02.15,49.955279,-53.144126,40670.0,194635.4811121762,79
287230830,287230830,eastbound,A333,KBOS,LSZH,23:16:34.96,28:21:20.17,50.589227,-54.132142,38738.0,191424.6038114929,85
287231472,287231472,westbound,FA7X,LIML,KTEB,23:21:50.03,29:18:04.34,48.628705,-6.097391,45188.0,21664.028339446566,99
287230358,287230358,eastbound,B764,KDTW,EDDM,23:22:06.10,28:24:58.89,53.940345,-57.025422,35547.0,175675.4221409731,83
287231054,287231054,eastbound,A332,CYUL,LGAV,23:23:18.29,28:09:06.34,52.410977,-54.748738,38717.0,206296.04001166808,71
287230777,287230777,eastbound,B789,KJFK,LIMC,23:23:21.69,28:10:45.25,50.706725,-54.65089,40877.0,192291.70098714586,86
287230048,287230048,eastbound,A333,KDTW,LFPG,23:24:48.09,28:15:40.78,52.462823,-55.921422,39144.0,187899.91004763392,85
287230980,287230980,eastbound,B772,CYOW,LFPG,23:25:16.93,27:58:01.11,52.22793,-55.845502,39356.0,218112.30563243604,84
287231158,287231158,eastbound,A333,KBOS,EIDW,23:25:39.10,27:16:51.61,50.39349,-53.878904,38738.0,191478.00746945437,67
287230760,287230760,eastbound,B763,KJFK,LIRF,23:27:36.01,28:14:31.56,49.440395,-53.085818,39924.0,159179.21599282924,78
287229779,287229779,eastbound,B78X,KORD,EDDF,23:28:28.81,28:21:43.57,53.3397,-57.26602,39934.0,216257.32277464887,84
287228732,287228732,eastbound,A359,KATL,EHAM,23:29:40.54,28:02:12.93,51.98705,-54.879516,40058.0,224822.59364579947,76
287230623,287230623,eastbound,A332,KIAD,LIRF,23:31:35.38,28:14:10.49,50.374082,-53.351704,39430.0,200565.49173013595,74
