identifier,base_fid,direction,actype,origin,destination,spawn_time,del_time,spawn_lat,spawn_lon,spawn_alt_ft,spawn_mass_kg,n_waypoints
293957001,293957001,eastbound,B77L,KORD,LIMC,19:13:30.17,23:54:08.22,47.115914,-51.89559,39001.0,237602.22652763748,75
293956082,293956082,eastbound,B77L,KLAX,EDDP,19:27:16.85,24:21:17.95,59.66031,-63.195658,42149.0,240654.01348483362,60
293965466,293965466,westbound,B788,EHAM,MMMX,22:08:17.04,26:35:46.48,58.002724,-8.028744,40279.0,193213.31980269044,56
293961981,293961981,eastbound,B748,KSDF,EDDK,22:08:50.34,26:48:15.66,48.095955,-52.399777,37326.0,370477.761835213,82
293965760,293965760,westbound,B772,LPPT,BIKF,22:28:14.40,25:06:28.21,43.757263,-11.822276,40449.0,205974.84033382035,48
293964621,293964621,westbound,FA7X,LIRQ,KTEB,22:49:00.06,27:53:00.56,52.701995,-12.971592,45629.0,18499.989171772642,87
293965197,293965197,eastbound,B78X,TNCC,EHAM,22:53:34.07,29:29:57.81,28.872183,-60.390561,40226.0,218607.13599114656,97
293965182,293965182,eastbound,A339,KATL,LFPG,23:00:33.89,29:32:41.08,41.089164,-68.133295,38654.0,209315.5328338389,103
293966632,293966632,westbound,A333,LEZG,KJFK,23:12:45.01,29:10:28.39,45.205844,-7.064042,38210.0,195591.20869417486,101
293966232,293966232,westbound,B77L,EBLG,KORD,23:13:14.41,27:45:41.23,56.125441,-8.246501,41803.0,249442.03778022705,79
293966427,293966427,westbound,B748,LEZG,MMSM,23:20:09.40,28:31:12.22,40.015021,-13.47211,35759.0,400696.4924725316,64
293966274,293966274,westbound,B789,LFPG,MMMX,23:23:05.35,27:56:53.05,55.549051,-8.533165,39125.0,215667.90863031032,57
293966545,293966545,westbound,B788,EGLL,MMMX,23:27:10.87,28:01:10.98,56.035066,-8.489243,40279.0,193971.88249548705,59
293960347,293960347,eastbound,B748,KLAX,LEZG,23:28:59.53,27:52:28.81,47.311148,-53.012474,38413.0,361186.2508950425,52
293960888,293960888,eastbound,GLEX,KVNY,LATI,23:30:38.67,28:28:39.41,52.946546,-56.187968,46415.0,29596.908105294086,51
293966189,293966189,eastbound,B789,MDPC,EGKK,23:42:55.56,29:58:36.52,29.532377,-60.819562,40458.0,198920.42379695654,105
293966461,293966461,westbound,B744,ELLX,KORD,23:45:38.41,28:16:45.05,56.24846,-8.177174,38173.0,303749.0857911164,79
293966124,293966124,eastbound,A333,KMIA,EHAM,23:48:00.38,30:46:04.28,37.855209,-68.800894,38751.0,190890.91048444354,103
293965967,293965967,eastbound,A339,KATL,LIRF,23:56:03.39,30:37:04.08,40.922398,-68.182035,38239.0,215848.04990993318,88
