fid_a,fid_b,dist_h_nm,dist_v_ft,shift_sec
284387027,284386941,4.120184103643385,609.765982445504,-10.0
284387767,284388132,4.679601721676977,815.7416138570188,-10.0
284387828,284387643,4.6868569790415275,650.0,-20.0
284388030,284388244,4.813348044234709,544.0,-10.0
284387691,284388221,1.5330539957290081,501.0,-30.0
284388032,284388576,2.283117117972556,304.0,0.0
284387899,284388307,1.6923205369606016,515.5192840580712,-50.0
284388635,284392698,4.947936413187275,471.0,-60.0
284392482,284388636,3.696224024502135,927.0,-40.0
284392816,284392846,3.1012816808485666,162.0,-40.0
284392963,284392918,4.727677967713651,10.0,-10.0
284399920,284400880,0.7953998970238091,276.1713550468412,-40.0
284405273,284406316,1.542050099876177,729.5075128953977,-50.0
284414171,284415623,2.0493724042621366,439.0860057519094,-30.0
284415259,284415869,3.2616755129069066,234.4482740354215,0.0
