fid_a,fid_b,dist_h_nm,dist_v_ft,shift_sec
273763757,273763947,1.332864599201517,308.0,-30.0
273763548,273764254,4.787305294548754,22.0,-10.0
273764391,273764792,4.573886576752134,23.83646958913596,-50.0
273764391,273764919,2.0739861530248622,281.5313862861731,-10.0
273764792,273764693,3.568902370810705,298.6250770802071,-20.0
273765074,273765075,2.8678793183677205,121.1982705529008,-20.0
273764964,273765297,3.010778518522791,416.7034753248372,-20.0
273765924,273765891,3.7450756010980664,473.0,-60.0
273765961,273766274,2.0066956756943135,418.00597772182664,-30.0
273765867,273767103,4.704684256912927,584.8617204172406,-50.0
273766256,273766355,4.187259423912506,790.0,-70.0
273767077,273767141,4.844705356187937,539.8522331714703,10.0
273783019,273785547,3.744095953585754,675.2705969733724,-20.0
273784053,273783439,2.0700576813651104,810.862358394239,-60.0
273784649,273784275,4.991331065142095,653.0,10.0
