fid_a,fid_b,dist_h_nm,dist_v_ft,shift_sec
286270288,286274158,4.317519598628227,50.0,-70.0
286274265,286274258,1.7804878645680828,111.0,-40.0
286274303,286274773,2.4577155078439556,530.276624627717,-40.0
286274542,286274389,3.2856087371259606,180.54979738098336,-40.0
286273842,286274696,0.7963127088370135,422.0,-40.0
286274711,286274903,3.651419522015413,192.0,-20.0
286275477,286275251,3.868300636428047,391.0,-70.0
286276396,286277793,4.846742870528071,844.1056857885051,-80.0
286291055,286291616,2.8978271938563664,900.6806809853006,-30.0
286291263,286291028,1.8450084381753586,289.9202096933368,-30.0
286291806,286297527,3.7386130798996713,763.1201173598092,-30.0
