identifier,base_fid,direction,actype,origin,destination,spawn_time,del_time,spawn_lat,spawn_lon,spawn_alt_ft,spawn_mass_kg,n_waypoints
283814692,283814692,eastbound,MD11,KPOB,EDFH,19:29:11.80,24:23:53.52,46.982991,-51.906164,35187.0,248958.07611809802,88
283818295,283818295,eastbound,A332,KJFK,LROP,20:29:20.51,25:26:51.69,46.929514,-52.412886,38020.0,205075.5840382009,76
283818286,283818286,eastbound,A332,KJFK,LYBE,20:38:24.90,25:38:09.46,46.94599,-51.898126,38120.0,202332.59872668664,81
283818905,283818905,eastbound,B763,CYYZ,LEZG,20:43:33.84,25:27:04.45,46.544977,-52.23429,36413.0,153948.08338833568,85
283822001,283822001,westbound,A333,LPPT,BIKF,21:06:08.69,23:54:31.46,43.811442,-9.657426,39262.0,185395.20918372253,49
283818366,283818366,eastbound,A339,KATL,LGAV,21:36:07.03,26:39:58.50,46.319595,-53.10717,37870.0,212945.51806912632,63
283821933,283821933,westbound,A333,LEMD,BIKF,21:39:16.26,23:52:55.62,48.825069,-7.481964,39625.0,182895.66729867147,38
283822330,283822330,westbound,B788,EGLL,SKBO,21:41:59.24,27:41:34.87,50.596916,-6.203356,40353.0,194273.17883393998,82
283822061,283822061,eastbound,B772,MDPC,EGKK,21:51:44.94,28:20:03.77,26.477938,-60.927768,38462.0,231734.80675003032,110
283820588,283820588,eastbound,B764,KEWR,LGAV,21:51:46.43,26:45:43.45,47.223373,-52.791417,35090.0,179667.6746521821,70
283820733,283820733,eastbound,A333,KJFK,LGAV,21:53:58.90,26:54:45.05,45.620972,-51.97132,38177.0,190216.157220068,70
283820117,283820117,eastbound,B748,KSDF,EDDK,21:59:39.02,26:36:18.55,48.282623,-52.100184,36445.0,370273.934528353,86
283820481,283820481,eastbound,B744,KSDF,EDDK,22:11:19.04,26:50:13.17,48.334172,-52.026204,36597.0,291087.8445535093,88
283821082,283821082,eastbound,A346,KJFK,EDDF,22:12:08.00,27:02:44.25,48.145732,-52.045038,36988.0,280467.94261767715,91
283821796,283821796,eastbound,A339,KBOS,LIRF,22:13:11.73,27:08:11.23,46.11446,-51.850322,38119.0,206446.7211233857,85
283822669,283822669,westbound,B788,EGLL,MMMX,22:14:14.50,26:36:06.45,55.306542,-8.96878,40281.0,194090.85230923942,54
283821485,283821485,eastbound,B763,KEWR,LIRN,22:15:08.14,27:11:15.15,47.033118,-52.596716,36746.0,160768.08241500056,83
