fid_a,fid_b,dist_h_nm,dist_v_ft,shift_sec
283821470,283822578,2.918515960474389,675.0,-60.0
283822029,283822907,3.547072010197383,302.0,-60.0
283822521,283823040,2.550054245662024,708.0,-30.0
283822513,283822616,2.2796655879451486,324.0,-50.0
283822914,283823318,2.142286242145892,44.0,-40.0
283823295,283823504,2.7540023441833887,773.0,-60.0
283827612,283828298,3.6385714441905344,969.0,-60.0
283828058,283828116,3.0765945427099,302.0,-20.0
283828601,283828695,4.5904834709659585,346.0,-10.0
283828515,283829908,4.214050328503227,925.0,180.0
283835307,283834953,3.7893399965062793,224.0,-40.0
283839246,283841108,2.8077296702509704,190.0,-20.0
283842565,283842997,4.917438433515828,935.0,10.0
