identifier,base_fid,direction,actype,origin,destination,spawn_time,del_time,spawn_lat,spawn_lon,spawn_alt_ft,spawn_mass_kg,n_waypoints
281086829,281086829,eastbound,B744,KJFK,EBLG,20:37:21.92,25:17:43.64,46.436833,-52.851793,37154.0,287502.87623120047,90
281086343,281086343,eastbound,B77L,KJFK,EDDP,20:42:39.51,25:34:57.07,47.730799,-52.946127,42190.0,239317.5733633404,91
281086234,281086234,eastbound,A333,KCVG,LIMC,21:32:51.35,26:35:18.35,45.996813,-52.320599,38693.0,186132.3947036203,79
281089506,281089506,westbound,B763,EGNX,KCVG,21:49:01.42,26:39:53.38,55.720574,-7.984991,37215.0,161722.7622523058,80
281089241,281089241,westbound,B77L,EDDK,KMEM,22:12:46.83,26:25:50.23,58.354377,-8.353853,41323.0,254287.61822379444,64
281089083,281089083,westbound,B748,EDDK,KSDF,22:18:43.70,26:35:34.66,58.448946,-8.145535,36714.0,385914.19707163144,72
281089697,281089697,westbound,B763,EGNX,KCVG,22:23:08.53,27:11:06.62,55.947118,-7.976734,37287.0,161713.28577764056,79
281089533,281089533,eastbound,B77W,TFFF,LFPO,22:47:42.26,29:12:56.68,26.035037,-56.717266,39043.0,280197.133043448,106
281089322,281089322,westbound,A332,EBBR,KCVG,22:52:25.28,27:34:08.87,56.004841,-7.990508,39116.0,202601.88558792396,77
281088862,281088862,eastbound,B789,MDLR,EGCC,22:56:45.14,28:34:39.78,34.953308,-60.754518,40787.0,193464.54622370642,92
281089868,281089868,westbound,B763,LEMD,CYYZ,22:56:59.04,28:35:15.90,44.102747,-9.476518,35425.0,160084.00040684114,93
281089899,281089899,westbound,B77L,EGSS,KIND,22:57:48.03,27:31:45.56,55.66396,-8.192294,41729.0,251014.60654799934,80
281089973,281089973,westbound,B77L,LFPG,MMSM,23:05:41.75,29:03:32.70,49.999315,-6.457157,40176.0,272597.64216880454,65
281088905,281088905,eastbound,A332,CYUL,DAAG,23:10:34.74,27:40:57.28,45.963315,-51.90059,36765.0,196755.00982734252,79
281089558,281089558,eastbound,B78X,TBPB,EGLL,23:12:45.82,29:23:15.20,25.837946,-55.988873,39819.0,221037.00068086604,102
281089745,281089745,westbound,B789,LFPG,MMMX,23:13:33.57,27:37:52.56,55.581934,-8.040389,39153.0,215861.2067479767,53
281089122,281089122,eastbound,B763,KMIA,EBBR,23:14:40.74,29:56:26.33,37.930275,-68.046603,39143.0,163232.83067467232,103
281089706,281089706,eastbound,B772,KCLT,EDDM,23:15:53.87,29:47:03.87,40.995414,-67.948536,37167.0,233863.84528205908,103
281089960,281089960,westbound,B789,EGLL,MMMX,23:19:47.38,29:08:07.14,51.439604,-10.127656,39178.0,216134.08588383804,62
281089807,281089807,eastbound,A332,TNCM,LFPG,23:21:04.93,30:20:24.02,26.23803,-60.516155,39050.0,203145.09144780168,113
281089248,281089248,westbound,B788,LIRF,MMMX,23:22:38.67,28:45:14.10,44.012676,-11.048558,40293.0,191112.36007226666,54
281088965,281088965,eastbound,A346,KJFK,EDDF,23:24:11.70,28:19:05.79,46.444182,-51.893953,37031.0,280726.9660386815,91
281089749,281089749,eastbound,B788,TLPL,EGKK,23:25:20.14,29:44:32.75,25.948286,-56.777251,41760.0,176492.21452492668,104
281089324,281089324,eastbound,A346,KBOS,EDDF,23:36:47.48,28:25:46.22,46.627458,-51.902393,36471.0,279026.92992355576,89
281089925,281089925,eastbound,B77W,TFFR,LFPO,23:46:44.61,30:09:50.19,26.169175,-56.600962,39010.0,280393.4389226471,108
281089575,281089575,eastbound,A333,KMIA,EHAM,23:53:36.87,30:42:36.46,38.087102,-67.771901,38780.0,190436.13649582095,101
281089676,281089676,eastbound,B789,MDLR,EGKK,23:57:11.71,29:48:33.82,34.461499,-60.622958,40711.0,194541.16723222705,94
281089396,281089396,eastbound,B763,KMIA,EBBR,23:58:58.83,30:42:03.49,37.823474,-68.208086,39104.0,163519.66606357697,104
281089746,281089746,eastbound,A333,KJFK,EIDW,24:06:00.57,28:06:05.30,46.721678,-52.407509,37256.0,190175.447681704,71
281089598,281089598,eastbound,A339,KJFK,EHAM,24:06:22.78,28:55:37.31,46.823446,-51.998228,37609.0,200663.18910469877,85
281089727,281089727,eastbound,B748,CYUL,EDDF,24:07:42.12,28:49:46.53,48.827967,-52.896046,37607.0,368526.89290121704,87
281089771,281089771,eastbound,B748,KMIA,EDDF,24:08:15.52,30:38:35.82,38.048576,-67.623606,36391.0,389277.77492278465,100
281090136,281090136,eastbound,A333,TBPB,EGCC,24:11:37.71,30:47:40.32,25.853158,-57.392005,38803.0,191993.33342579406,103
281089583,281089583,eastbound,A339,KJFK,LIRF,24:12:27.07,29:07:18.23,45.944509,-51.879824,37426.0,207150.3120404497,82
281090113,281090113,eastbound,A339,TFFR,LFPO,24:17:19.10,31:11:47.33,26.151992,-58.145812,39191.0,209552.41739703517,109
281090069,281090069,eastbound,A333,KBOS,EIDW,24:17:51.36,28:16:09.80,46.902763,-52.204652,37142.0,191395.3596931718,70
281089538,281089538,eastbound,A333,KMIA,LSZH,24:18:47.90,31:17:59.09,38.004762,-67.583025,38777.0,190485.16928932458,97
281089296,281089296,eastbound,B748,KSDF,EDDK,24:19:14.20,29:01:21.54,46.510447,-52.155149,36254.0,371207.8985741715,86
281089464,281089464,eastbound,A333,CYYZ,EDDF,24:20:14.56,29:25:24.49,48.440934,-52.92732,38912.0,189028.7562659473,87
