fid_a,fid_b,dist_h_nm,dist_v_ft,shift_sec
293966392,293965875,4.432823008463663,676.0,-40.0
293966751,293966575,3.8308372017377734,62.0,-20.0
293966932,293967037,4.5706116599134194,228.0,-20.0
293976922,293977300,2.989012866438725,104.0,-30.0
293976902,293977068,4.568543903985406,108.98939013385825,-30.0
293977095,293977481,0.6061830126797845,285.0,0.0
293977638,293977673,4.4847652563543,40.0,-10.0
293977391,293977534,2.4338521773646336,844.0,-30.0
293985859,293986621,2.6033001551098347,168.20735960505408,-60.0
293993311,293993238,4.677726801674955,44.76445720398624,-10.0
