fid_a,fid_b,dist_h_nm,dist_v_ft,shift_sec
274212937,274213655,0.8464135525136832,781.1586759312195,-50.0
274213664,274214319,3.0569818913391846,68.84986092313193,-30.0
274213656,274232870,3.0337566141949694,404.9603648863849,10.0
274214232,274214638,0.7625465816204582,637.19315502869,-40.0
274214351,274230349,0.773904736513721,725.6911529000645,-40.0
274214907,274243582,2.678326744909759,129.63962413132685,-20.0
274228149,274220013,1.8610004593420024,34.44758671714226,0.0
274243497,274245187,4.1138455403068015,663.0875636881174,-60.0
274216347,274239863,4.554701663597932,20.0,-40.0
274234493,274247565,3.5433728825557744,279.36410281391727,-20.0
274236256,274221371,3.353652186568051,1.0,-30.0
274242817,274233502,4.619253917854738,184.0,-10.0
274235622,274239924,3.8559547959907325,166.60384029872512,0.0
