identifier,base_fid,direction,actype,origin,destination,spawn_time,del_time,spawn_lat,spawn_lon,spawn_alt_ft,spawn_mass_kg,n_waypoints
280696840,280696840,eastbound,B77L,KLAX,EDDP,18:22:01.45,23:21:59.60,62.076486,-65.730568,42259.0,241238.60619881575,60
280706376,280706376,eastbound,B789,CYYZ,EGCC,20:23:14.85,24:23:51.70,51.217416,-54.920867,41444.0,185837.37678620004,69
280710578,280710578,westbound,B772,LPPT,BIKF,21:57:38.83,24:36:34.45,44.097681,-9.55279,40443.0,206177.07348326576,49
280709981,280709981,westbound,B77L,LFPG,KORD,22:03:32.13,26:45:18.78,54.702668,-8.11961,39664.0,249596.3985613345,84
280710535,280710535,westbound,A333,LPPT,BIKF,22:04:15.34,24:51:18.48,43.944151,-9.074812,39333.0,184939.66319533414,50
280709217,280709217,eastbound,B772,KEWR,LFPG,22:08:18.87,26:43:59.90,45.2187,-52.248783,39423.0,217704.423898322,82
280710610,280710610,eastbound,A333,KJFK,LSZH,22:09:12.87,29:00:51.21,41.356932,-68.60577,38070.0,196389.48396080383,113
280709773,280709773,westbound,B77L,LFPG,KMEM,22:14:49.77,26:53:53.44,54.813848,-8.88617,39405.0,254663.7851516994,73
280710876,280710876,eastbound,A339,KJFK,LIRF,22:19:53.71,28:58:10.00,41.446999,-68.446023,38661.0,213404.98688254584,104
280709568,280709568,eastbound,B788,TBPB,EGBB,22:19:53.97,28:05:44.01,26.11028,-49.220832,41297.0,172780.8893020002,96
280707653,280707653,eastbound,B77L,KCVG,EDDP,22:21:05.94,27:12:08.79,49.180971,-53.179743,42354.0,237991.85407145022,78
1500135011,1500135011,eastbound,A339,KATL,LFPG,22:27:49.15,29:17:42.46,39.114713,-69.060124,38835.0,210041.76868407696,107
280710665,280710665,eastbound,B77W,KJFK,LFPG,22:33:33.20,28:35:04.99,41.847226,-66.981136,38895.0,278151.11448637594,108
280710530,280710530,westbound,B788,EHAM,MMMX,22:37:25.28,27:08:47.74,56.863227,-7.945871,40261.0,193704.0487734474,55
280709709,280709709,eastbound,B763,KMIA,EBBR,22:41:01.58,29:10:38.40,34.519448,-61.123035,39514.0,162116.27608492319,98
280710868,280710868,eastbound,A332,KJFK,EHAM,22:44:04.11,28:42:04.65,42.687596,-62.868628,39530.0,197461.38235932897,101
280710602,280710602,eastbound,A339,KJFK,EDDF,22:48:02.75,29:14:29.84,42.580323,-63.485344,39272.0,207358.1463411599,106
280710496,280710496,eastbound,A346,KBOS,EDDF,22:53:19.85,27:50:35.25,45.763396,-52.219353,39714.0,279365.2460879489,86
280711309,280711309,westbound,B763,EGNX,KCVG,22:53:45.46,27:54:53.22,55.541485,-8.309628,35454.0,161657.51088502814,85
280710498,280710498,westbound,A333,LEMD,BIKF,22:55:18.14,24:30:54.51,53.557772,-9.424958,39984.0,180533.81439743398,27
280711006,280711006,eastbound,A333,KJFK,EIDW,23:02:54.28,28:11:55.22,42.789402,-62.300488,38381.0,194079.23893884744,85
280710096,280710096,eastbound,A346,KJFK,EDDF,23:04:34.23,28:05:45.19,46.066342,-52.389046,39671.0,281091.08217014826,87
280711111,280711111,eastbound,A333,KIAD,EIDW,23:05:50.67,28:53:27.52,41.453988,-68.519604,38255.0,194875.73934647493,97
280710380,280710380,westbound,B788,LIRF,MMMX,23:06:03.86,28:41:16.96,50.150203,-6.846738,40187.0,193095.97545930205,59
280710997,280710997,westbound,B789,LFPG,MMMX,23:17:49.53,27:50:51.52,55.104255,-8.710775,38317.0,215779.0476784366,55
280711305,280711305,eastbound,A332,KJFK,LFPG,23:19:56.12,29:32:17.85,41.998546,-66.19445,39366.0,198497.45763918638,106
280708276,280708276,eastbound,B744,KSDF,EDDK,23:23:03.85,28:02:17.55,49.220057,-52.934425,38986.0,290204.0440602714,80
280709951,280709951,eastbound,B77W,TNCC,EHAM,23:23:14.16,29:33:51.27,26.654049,-51.741144,38925.0,279527.4285532223,90
280711266,280711266,westbound,B789,EGLL,MMMX,23:28:18.23,28:01:46.03,55.268399,-8.209843,37036.0,217126.16672738417,57
280711142,280711142,eastbound,B764,KIAD,EDDM,23:40:50.62,30:34:38.19,41.303385,-68.304998,34649.0,181589.7465483632,110
280710889,280710889,eastbound,A35K,TFFR,LFPO,23:46:38.79,29:51:15.06,26.356005,-49.923309,38268.0,260470.74646974928,100
280711510,280711510,eastbound,B744,KJFK,LFPG,23:46:55.42,29:51:56.87,41.414164,-68.482381,36478.0,298559.2947213775,110
280710670,280710670,eastbound,A333,CYYZ,EDDF,23:47:57.13,28:53:54.89,51.8989,-54.757342,39087.0,189332.7517810205,86
280711249,280711249,eastbound,B763,KIAD,LSGG,23:48:37.50,30:27:25.32,41.351008,-68.684071,36888.0,162149.50800059192,112
280711342,280711342,eastbound,A332,KIAD,EHAM,23:50:45.11,29:46:09.39,42.687398,-62.673426,39493.0,198103.38512609992,101
280710900,280710900,eastbound,A333,CYUL,LSZH,23:54:09.51,28:58:49.73,47.437121,-52.397303,38833.0,191125.32617529482,83
280711168,280711168,eastbound,A339,MDLR,EDDF,23:54:30.20,30:54:51.41,26.661197,-54.460931,38660.0,212156.28368599515,98
280710872,280710872,eastbound,B772,TAPA,EGKK,23:54:44.28,29:38:10.53,26.34937,-50.609292,38670.0,225880.34001666767,99
280711409,280711409,westbound,A359,LEMD,MMMX,23:57:04.72,29:12:37.91,42.629472,-12.46941,37693.0,248646.68553693005,63
280711617,280711617,westbound,B763,EGSS,KSDF,23:59:23.04,28:59:13.27,55.602235,-8.114644,35448.0,162248.4503772721,85
280711710,280711710,eastbound,B77W,KJFK,LFPG,24:00:19.63,30:10:05.30,41.356269,-68.500872,36511.0,279445.0291591605,111
280711731,280711731,eastbound,B772,KEWR,EGLL,24:00:33.91,29:57:41.17,40.939365,-68.545477,37100.0,227038.04604811073,107
280710589,280710589,eastbound,B763,KMIA,EBBR,24:00:55.40,30:28:17.39,34.599763,-60.774219,39529.0,161452.31959154125,96
280711315,280711315,eastbound,B763,KIAD,LSZH,24:01:24.68,30:46:42.43,41.443015,-68.638039,36843.0,162688.63288398154,112
280710936,280710936,eastbound,B78X,TBPB,EGLL,24:03:58.56,29:38:06.71,26.135397,-48.633236,39604.0,219504.74431854716,94
280710614,280710614,eastbound,A333,KMIA,EHAM,24:14:02.32,30:54:12.03,34.423472,-61.195751,38996.0,189331.38855509224,97
280711040,280711040,eastbound,A339,MDLR,EDDL,24:18:01.06,31:24:19.20,26.658174,-54.44589,38697.0,211393.42838421735,102
280711797,280711797,eastbound,B764,KJFK,LEMD,24:19:33.92,30:39:00.29,41.204869,-68.512613,34456.0,176564.45087576605,106
280711411,280711411,eastbound,A333,KBOS,EIDW,24:19:54.82,28:27:33.53,45.254925,-52.621328,38712.0,191882.0961346271,68
280710949,280710949,eastbound,B772,KCLT,EDDM,24:21:05.41,30:58:50.77,39.9159,-67.907494,37771.0,234302.89129866794,104
280711245,280711245,eastbound,B788,KJFK,LFPG,24:27:54.13,29:09:01.74,45.549074,-52.248548,42392.0,167664.81012355062,82
280711799,280711799,eastbound,A339,KJFK,EHAM,24:28:55.58,31:11:49.19,40.647271,-68.547774,37649.0,206964.0784544023,113
280711202,280711202,eastbound,B789,CYUL,LFPG,24:29:32.86,29:02:05.29,48.020473,-52.337759,41269.0,188958.42847218772,80
280711362,280711362,eastbound,A333,MDLR,EDDF,24:33:15.96,31:33:56.19,26.616345,-54.492791,38547.0,190768.7539144555,98
280711798,280711798,eastbound,B788,KPHL,LIRF,24:33:34.34,30:53:09.78,41.531038,-67.982285,41183.0,184402.585188451,102
280711501,280711501,eastbound,B772,CYYZ,EDDH,24:37:40.20,29:25:35.62,54.17111,-57.84544,39304.0,219476.42199821433,86
280711329,280711329,eastbound,B788,KIAD,LFPG,24:37:40.49,30:16:28.17,42.90437,-61.77177,41974.0,173472.18240840407,99
280722543,280722543,eastbound,A339,KBOS,EHAM,24:38:02.29,31:21:07.96,40.856114,-68.844876,36629.0,205798.11579433788,113
280711674,280711674,eastbound,B764,KJFK,LEBL,24:39:29.62,31:08:05.97,41.211786,-68.452294,34345.0,178992.7674784517,109
280711766,280711766,eastbound,B77W,KIAD,LFPG,24:40:55.94,30:50:57.37,41.227014,-68.456302,36622.0,278731.01059849124,111
280711227,280711227,eastbound,B77L,KMIA,EHAM,24:43:34.81,30:50:02.83,35.195974,-60.780287,41513.0,246321.54384132483,96
280711578,280711578,eastbound,B763,KJFK,LOWW,24:44:06.29,30:42:05.42,43.196829,-60.179376,39178.0,161812.41947924328,96
280711435,280711435,eastbound,A333,CYUL,LFPG,24:44:23.42,29:30:39.31,49.190653,-52.579445,38851.0,191107.4267998309,79
1500115011,1500115011,eastbound,A332,KATL,EDDF,24:48:42.85,31:34:20.86,41.170624,-68.142219,37854.0,204186.4265088659,103
280711670,280711670,eastbound,B763,KBOS,LOWW,24:50:38.28,30:02:30.83,45.209233,-52.36592,39432.0,158964.5921197088,86
280710784,280710784,eastbound,A343,KMIA,LSZH,24:53:02.66,31:26:07.26,34.800881,-60.672237,37114.0,220330.94707613194,90
280722580,280722580,eastbound,B772,TXKF,EGLL,24:53:05.84,30:46:11.49,34.367445,-61.333748,38893.0,227837.75506724854,103
280711280,280711280,eastbound,A333,KEWR,ESSA,24:53:26.21,30:09:02.00,51.399294,-54.384326,39022.0,189972.67269353417,89
280710624,280710624,eastbound,A333,KIAH,EHAM,24:53:56.59,31:06:03.76,42.427924,-63.849789,39329.0,185280.27389751287,89
280711753,280711753,eastbound,B789,KIAD,EGLL,24:54:22.52,30:53:44.29,41.113594,-68.608327,40599.0,198409.90400739101,104
280710879,280710879,eastbound,B748,KMIA,EDDF,24:55:07.13,31:02:08.20,36.6962,-60.616661,36734.0,385655.726694449,93
280711287,280711287,eastbound,B763,KEWR,EGLL,24:55:25.95,29:27:48.46,45.440343,-52.449156,40008.0,152018.0896879296,77
280711164,280711164,eastbound,A339,CYYZ,EDDF,24:56:36.28,30:02:10.69,47.907331,-52.701501,39848.0,202849.43326215615,83
280711354,280711354,eastbound,B763,KEWR,LSGG,24:56:40.63,29:59:56.76,45.058522,-52.592408,39694.0,155795.74515826508,84
280711437,280711437,eastbound,B77W,KJFK,EHAM,24:57:46.11,29:42:03.61,44.698377,-52.61897,39669.0,267937.50152194186,84
280710577,280710577,eastbound,B789,KMSP,EDDF,24:58:10.50,29:59:52.48,57.805303,-62.43999,40910.0,190308.05494945782,83
280711317,280711317,eastbound,A333,CYYZ,EIDW,24:58:36.01,28:55:31.77,47.981018,-52.756665,39083.0,189091.4654959858,66
280711360,280711360,eastbound,B772,KEWR,LIMC,25:01:00.79,29:52:01.65,45.158936,-52.674231,39082.0,222377.41266257068,85
280711091,280711091,eastbound,A333,KIAD,EKCH,25:01:45.37,30:14:22.50,48.747872,-52.78348,39183.0,188436.63349632098,88
280710505,280710505,eastbound,B78X,KORD,EDDF,25:02:58.93,29:56:16.26,54.621907,-58.06329,40483.0,216321.8181418196,82
280711403,280711403,eastbound,A333,KBOS,EKCH,25:03:16.20,30:13:10.64,48.900892,-52.433149,38832.0,191268.42770459352,86
280722642,280722642,eastbound,B764,KJFK,LFPG,25:03:47.53,31:37:06.83,40.653947,-68.715636,34947.0,177008.58844552524,111
280711379,280711379,eastbound,A333,KEWR,EKCH,25:03:59.54,30:16:39.31,48.721663,-52.940661,38979.0,190061.06735892998,86
280722620,280722620,eastbound,A339,KJFK,LIRF,25:04:21.34,31:48:04.22,40.590264,-68.327503,36770.0,213295.98721947486,105
280711244,280711244,eastbound,A333,KMIA,EGLL,25:05:57.63,31:17:38.57,35.00147,-61.164073,39016.0,189151.36889293126,94
280711358,280711358,eastbound,A333,KEWR,EIDW,25:06:38.38,29:11:14.51,45.449324,-52.206203,38918.0,190252.98523564357,68
280711474,280711474,eastbound,B789,KEWR,LOWW,25:07:19.01,30:10:12.46,45.132128,-52.43287,40583.0,195148.94631552143,83
280711608,280711608,eastbound,A332,CYUL,LFPG,25:10:07.48,29:50:32.77,48.088247,-52.325863,40191.0,192159.42212279246,80
280711568,280711568,eastbound,A333,KBOS,EGLL,25:10:11.34,29:44:54.39,45.614974,-52.597973,38732.0,191736.3625673436,76
280711612,280711612,eastbound,A333,KSWF,BIKF,25:13:16.48,27:53:36.22,52.734488,-55.708785,39344.0,186810.29797807086,47
280711672,280711672,eastbound,B78X,KBOS,EGLL,25:15:05.02,29:38:11.33,44.723591,-52.625133,39737.0,220712.1709799869,78
280711512,280711512,eastbound,B763,KEWR,EGLL,25:17:40.33,29:48:36.02,45.501064,-52.215176,39987.0,152005.14450209434,76
280711524,280711524,eastbound,B772,CYYZ,EGLL,25:18:34.00,29:28:06.30,51.991935,-55.492599,39600.0,215063.48697300162,75
280711392,280711392,eastbound,A333,KJFK,EKCH,25:19:17.86,30:32:05.98,49.187057,-53.106877,38979.0,190107.4280580706,88
280711553,280711553,eastbound,B772,KEWR,EHAM,25:21:50.00,30:02:03.71,46.163549,-52.563521,39434.0,217136.59155673112,82
280711531,280711531,eastbound,B78X,CYYZ,EHAM,25:24:07.77,29:52:10.80,52.151242,-55.497902,40203.0,218743.0012390247,81
280710793,280710793,eastbound,A333,KCVG,LIMC,25:25:58.98,30:27:12.16,45.398216,-52.414799,39348.0,186494.81455948472,74
280711432,280711432,eastbound,B764,KEWR,EDDB,25:26:01.61,30:49:07.91,44.904191,-52.266887,36210.0,174351.86385366152,87
280711288,280711288,eastbound,B77L,KMIA,EBLG,25:26:13.26,31:35:06.28,35.298139,-60.602605,41491.0,246865.78477366618,96
280711220,280711220,eastbound,A333,KMSP,LFPG,25:26:20.19,30:25:45.38,55.722191,-60.134348,39416.0,186965.13246159733,82
280722716,280722716,eastbound,B764,KJFK,LIMC,25:26:41.27,32:08:58.71,40.596393,-68.701768,34753.0,180603.93549890595,113
280710497,280710497,eastbound,A333,KDTW,EHAM,25:27:19.41,30:21:32.51,46.675021,-52.270849,39249.0,187415.00752016844,82
280711682,280711682,eastbound,A35K,KJFK,EGLL,25:28:54.26,29:59:44.50,44.891096,-52.614101,39266.0,250638.73590692715,75
280711628,280711628,eastbound,A359,KRDU,LFPG,25:29:53.50,32:02:18.38,39.501817,-68.819163,37720.0,230269.78500250605,115
280711691,280711691,eastbound,B772,KJFK,EGLL,25:32:05.23,29:50:14.88,45.088042,-52.218623,39567.0,215488.76226667178,76
280709877,280709877,eastbound,A339,KSEA,LFPG,25:33:04.28,30:37:58.79,60.845617,-64.737377,39812.0,205961.19305342805,71
280711268,280711268,eastbound,A333,KIAH,EDDF,25:33:55.58,32:27:30.43,41.306347,-68.126111,37853.0,187171.15829670586,93
280711704,280711704,eastbound,B772,KJFK,BIKF,25:34:17.86,28:05:54.10,53.844906,-57.378572,40394.0,204133.11126801404,45
280711571,280711571,eastbound,B772,KMCO,EGKK,25:35:21.87,31:14:07.54,37.384594,-61.39561,38891.0,224040.81544777594,93
280711200,280711200,eastbound,B77W,KIAD,EDDF,25:35:29.38,30:38:47.19,44.781489,-52.511577,39620.0,270376.1322586939,88
280711607,280711607,eastbound,B772,KEWR,LFPG,25:35:38.59,30:12:28.98,45.509763,-52.602135,39395.0,217835.36586900993,82
280711609,280711609,eastbound,B744,CYYZ,EDDF,25:36:15.49,30:25:25.06,48.601459,-52.905852,39009.0,289450.5700658052,85
280711561,280711561,eastbound,A333,KBWI,BIKF,25:37:12.25,28:18:02.82,52.641751,-55.707568,39306.0,187518.44493991358,47
280711660,280711660,eastbound,A333,KTPA,EDDF,25:38:10.42,32:52:34.49,38.206535,-67.919676,38445.0,190191.33539012208,101
280710992,280710992,eastbound,B78X,KIAH,EGLL,25:38:51.46,30:50:40.66,42.960191,-61.356749,40102.0,213433.4927369669,82
280711528,280711528,eastbound,B78X,KIAD,EGLL,25:40:07.88,29:59:25.27,44.948823,-52.544537,40004.0,218010.41866930932,77
280711637,280711637,eastbound,A333,CYHM,BIKF,25:40:17.86,28:20:52.76,55.289874,-59.574593,39306.0,187060.9406580717,46
280711709,280711709,eastbound,A333,KEWR,ENGM,25:40:31.18,30:28:33.40,51.392061,-54.423177,39016.0,189963.75170752508,80
280722534,280722534,eastbound,A333,CYQB,LFPG,25:41:17.92,30:25:28.11,48.583188,-52.538326,38714.0,192081.10031995006,79
280711541,280711541,eastbound,A333,CYYZ,LOWW,25:41:39.29,30:50:55.19,47.753023,-52.575851,39098.0,188957.68582801236,78
280711584,280711584,eastbound,B77W,CYYZ,EGLL,25:42:16.10,29:53:21.49,53.254418,-56.5722,40380.0,263873.26403705694,76
280711734,280711734,eastbound,A339,MDLR,EDDF,25:42:32.85,32:37:25.88,26.750147,-54.025207,38620.0,212126.0495451181,97
280710540,280710540,eastbound,A343,KDTW,EDDF,25:44:28.59,30:46:33.13,53.085562,-56.153156,38198.0,210530.74351678745,84
280711551,280711551,eastbound,A339,MUVR,EDDF,25:45:17.29,32:44:13.15,32.825884,-61.061865,38896.0,213019.5680115248,92
280711508,280711508,eastbound,B789,KIAD,LOWW,25:48:26.92,30:52:12.29,44.798975,-52.494538,40625.0,194133.79501657802,80
280711539,280711539,eastbound,B748,KEWR,EDDF,25:48:29.35,30:40:42.45,45.345709,-52.409821,37614.0,370722.0392100726,87
280722755,280722755,westbound,A333,LEZG,KJFK,25:49:12.76,31:29:20.13,43.079096,-11.65252,38439.0,194468.01867516784,96
280710945,280710945,eastbound,B763,KCVG,EGNX,25:51:36.08,30:06:41.77,47.512936,-52.301306,40666.0,151860.03917435594,74
280711434,280711434,eastbound,B744,KIAD,EDDF,25:51:42.87,30:42:31.40,45.020232,-52.350287,38870.0,291153.6834005925,86
280711760,280711760,eastbound,A35K,KPHL,EGLL,25:52:56.16,30:23:25.59,44.967655,-52.522447,39250.0,251092.331469129,78
280722527,280722527,eastbound,A332,CYUL,EHAM,25:54:02.92,30:27:58.88,52.218012,-55.068817,40161.0,192511.48442258412,77
280709925,280709925,eastbound,B772,KDFW,EDDF,25:54:25.94,30:53:58.12,45.48594,-52.194996,39023.0,216465.99446159034,71
280711616,280711616,eastbound,B763,KIAD,EHAM,25:55:54.79,30:55:03.74,45.074148,-52.598559,40161.0,154226.0314804981,85
280711671,280711671,eastbound,A333,KJFK,EBBR,25:56:12.22,30:58:21.53,44.873899,-52.406518,38880.0,190511.43733700644,84
280711767,280711767,eastbound,B763,KEWR,LSZH,25:58:43.19,31:02:48.19,45.320259,-52.601655,39967.0,156368.5048675685,85
280710878,280710878,eastbound,A333,KSTL,EDDF,25:58:44.41,31:16:05.55,46.182966,-52.906164,39572.0,184533.96544376662,77
280711717,280711717,eastbound,B77W,CYYZ,LFPG,25:58:57.77,30:26:41.91,48.049921,-52.537406,40207.0,265767.3259096392,80
280722599,280722599,eastbound,A333,KBOS,EINN,26:01:50.51,29:53:05.17,45.678478,-52.482742,38736.0,191698.74370454924,63
280711414,280711414,eastbound,A359,KIAH,LFPG,26:03:33.57,32:25:02.55,41.3299,-68.089822,37442.0,233160.0713331218,93
280711686,280711686,eastbound,B77W,KMIA,EGLL,26:04:06.55,31:42:50.18,36.846747,-61.192057,39530.0,275014.85291515314,92
280722675,280722675,eastbound,A333,KJFK,LSGG,26:06:08.45,32:06:20.08,43.105166,-60.666129,38457.0,193427.72784664517,100
280722502,280722502,eastbound,A333,CYUL,EDDF,26:06:19.63,31:13:24.05,49.536006,-53.389151,38816.0,191352.0428978943,84
280710193,280710193,eastbound,B772,KSFO,EGLL,26:06:25.17,30:29:01.15,63.083852,-64.858474,39360.0,214339.06581910554,62
280722594,280722594,eastbound,A332,KBOS,EGLL,26:09:26.22,30:36:12.75,47.27031,-52.745025,40318.0,190639.59722429598,76
280722604,280722604,eastbound,B772,KJFK,BIKF,26:15:29.81,28:48:26.53,52.685862,-55.707741,40377.0,204563.42217253832,44
280711741,280711741,eastbound,A333,CYUL,EBBR,26:16:02.95,31:06:08.62,49.480466,-53.429933,38812.0,191362.80242840678,81
280711742,280711742,eastbound,B763,KEWR,EGLL,26:16:06.82,30:48:53.78,45.640377,-52.351708,40238.0,151958.17000806716,77
280722510,280722510,eastbound,A35K,KJFK,EGLL,26:17:30.15,30:47:30.92,45.126268,-52.457425,39268.0,250597.61582785065,77
280722743,280722743,eastbound,B764,KEWR,LIRF,26:17:39.56,32:04:58.64,43.241377,-60.342218,35792.0,180230.92418331455,92
280710946,280710946,eastbound,A346,KORD,EDDF,26:19:50.65,31:18:08.55,47.540996,-52.857319,39678.0,284290.6646381807,80
280711556,280711556,eastbound,A339,KMSP,EGLL,26:20:25.40,30:53:50.31,56.762449,-60.789516,40079.0,201437.73527902385,79
280722600,280722600,eastbound,A339,MDPC,EDDF,26:24:03.03,33:20:46.32,26.580889,-54.512683,38806.0,212124.22745323976,98
280711748,280711748,eastbound,A359,KMIA,EDDM,26:26:17.93,32:54:38.09,34.980983,-61.134023,38926.0,235906.67199032885,89
280711257,280711257,eastbound,A333,KMCO,EGLL,26:26:49.39,32:25:44.99,37.703987,-61.422024,39006.0,189104.0448811279,94
280722799,280722799,eastbound,B789,MBPV,EGLL,26:27:44.67,33:00:54.15,28.270659,-61.02769,40409.0,199422.79404625713,107
280711621,280711621,eastbound,B788,TNCC,EHAM,26:28:06.37,32:48:57.96,26.586376,-51.402925,41194.0,173417.2332625855,91
280722508,280722508,eastbound,B772,KJFK,EGLL,26:28:08.20,30:46:28.84,46.108208,-52.361271,39577.0,215199.01610889568,76
280722891,280722891,eastbound,B78X,KEWR,LPPT,26:28:14.20,31:58:21.33,42.577846,-64.492808,35846.0,223728.71585694433,99
280722640,280722640,eastbound,B772,KEWR,BIKF,26:31:08.04,29:04:04.52,53.192982,-56.650108,40385.0,204266.9766702317,47
280722504,280722504,eastbound,B78X,KEWR,EBBR,26:31:12.05,31:12:05.13,45.735678,-52.710394,39821.0,219435.48846822954,84
280711789,280711789,eastbound,A333,KMIA,EIDW,26:31:21.96,32:09:40.24,36.899273,-61.332108,39067.0,188825.2110253807,91
280722569,280722569,eastbound,A333,CYUL,EGLL,26:32:03.79,30:57:37.39,50.047186,-53.325991,38822.0,191305.9679050242,74
280722614,280722614,eastbound,A333,KEWR,LFPO,26:32:59.55,31:33:47.27,45.21458,-52.541248,38895.0,190322.60653300813,84
280723045,280723045,eastbound,A339,KJFK,LIRF,26:33:39.34,33:16:19.52,40.67434,-68.330161,36595.0,213276.3567075577,105
280711088,280711088,eastbound,A359,CYVR,LFPG,26:33:47.88,31:26:17.06,60.854753,-64.103821,40025.0,227714.4301060389,71
280711659,280711659,eastbound,B772,KIAD,EGLL,26:34:11.75,30:55:32.49,45.320729,-52.239685,39513.0,215231.4083641071,78
280711002,280711002,eastbound,B789,KATL,LFPG,26:34:56.28,32:53:33.13,40.254077,-68.010079,39386.0,197923.55222802956,105
280722740,280722740,eastbound,B763,KBOS,BIKF,26:36:50.59,29:16:33.65,52.830663,-56.104957,41720.0,143794.603979035,45
280722661,280722661,eastbound,A333,KMCO,EHAM,26:37:04.16,33:31:50.07,38.145496,-68.502207,38347.0,190981.21054305832,104
280722637,280722637,eastbound,B772,KTPA,EGKK,26:38:15.43,32:13:14.67,37.983816,-61.137466,38894.0,223438.09927699732,91
280722683,280722683,eastbound,A333,CYUL,LFRS,26:41:52.12,31:13:59.37,47.219258,-52.461264,38821.0,191143.8638915217,74
280722586,280722586,eastbound,B789,KJFK,EGKK,26:42:24.03,31:10:30.62,44.998106,-52.694029,41182.0,188108.19130350294,78
280722641,280722641,eastbound,A339,KJFK,EGCC,26:42:26.24,31:07:39.87,45.247018,-52.646533,40230.0,198212.90918959893,74
280711538,280711538,eastbound,A333,MMUN,EDDF,26:44:18.95,33:28:35.27,38.238646,-62.052199,39529.0,184913.80792384726,85
280709979,280709979,eastbound,A359,KSFO,LFPO,26:44:41.14,31:44:11.50,57.551689,-61.180002,39993.0,230258.7114395405,64
280722570,280722570,eastbound,B77W,KJFK,EGLL,26:45:57.77,31:02:57.69,45.181302,-52.239279,40095.0,263723.80476301315,76
280722660,280722660,eastbound,B78X,KEWR,EDDF,26:46:09.98,31:44:46.67,45.721172,-52.700505,39821.0,219437.4143507248,88
280722702,280722702,eastbound,A333,MDPC,EGCC,26:47:33.59,33:18:01.57,26.347947,-55.601198,38734.0,191413.5849847365,102
280711373,280711373,eastbound,B772,KDEN,BIKF,26:48:08.92,29:12:06.24,61.286309,-64.786172,40398.0,201713.04241422468,43
280722757,280722757,eastbound,B789,MKJS,LIMC,26:50:49.87,33:42:06.13,27.857709,-61.079113,39985.0,202255.3772436109,91
280711429,280711429,eastbound,B789,KDEN,EDDF,26:52:22.49,31:52:03.92,59.101055,-62.581134,40939.0,187210.63182861605,71
280722682,280722682,eastbound,A333,CYUL,LFPG,26:52:50.61,31:42:22.16,47.547828,-52.269614,38832.0,191088.42926088267,80
280722701,280722701,eastbound,A333,KMCO,EDDF,26:52:51.94,34:08:16.11,38.165292,-68.003082,38371.0,190809.84445517426,103
280711236,280711236,eastbound,B772,KIAH,EGLL,26:53:26.83,31:18:21.42,45.330012,-52.961213,39192.0,214128.14789172864,70
280711003,280711003,eastbound,B763,KIAH,EHAM,26:54:00.69,31:46:12.72,45.404358,-52.013811,39911.0,156170.5491119425,71
280711750,280711750,eastbound,B772,KORD,EHAM,26:56:38.50,31:27:46.77,54.951766,-58.328142,39385.0,217154.76947525638,81
280710728,280710728,eastbound,A339,KLAS,EHAM,26:57:17.14,31:50:06.50,61.960371,-64.900868,39926.0,206763.4498318161,64
280722540,280722540,eastbound,B77W,CYUL,LFPG,27:00:11.35,31:28:24.31,47.597355,-52.289816,39970.0,266455.93624015065,79
280711376,280711376,eastbound,B748,KORD,ELLX,27:00:19.99,31:41:19.79,46.792487,-52.37825,37703.0,370267.90865065606,81
280722763,280722763,eastbound,B772,KJFK,EGLL,27:00:57.92,31:19:12.96,45.230195,-52.29638,39562.0,215486.63498504952,76
280722673,280722673,eastbound,B772,KIAD,BIKF,27:02:38.24,29:34:36.64,54.274699,-58.180352,40339.0,203968.9604248927,46
280722795,280722795,eastbound,A333,KBOS,EGLL,27:03:33.05,31:35:11.56,45.867549,-52.293335,38747.0,191578.07975277057,75
280722815,280722815,eastbound,B772,KBOS,EGLL,27:04:59.70,31:22:08.16,45.670989,-52.372857,39613.0,215493.53876961558,76
280722688,280722688,eastbound,A332,KJFK,EGLL,27:05:17.15,31:36:01.98,46.049019,-52.221314,40253.0,191429.54336822403,77
280711711,280711711,eastbound,B772,KORD,EGLL,27:05:38.53,31:16:41.15,47.329616,-52.348369,39600.0,212326.9484382893,74
280722811,280722811,eastbound,A333,KBOS,LFPG,27:05:49.36,32:02:33.03,45.99114,-52.720625,38727.0,191745.36255255892,82
280711479,280711479,eastbound,B788,KDFW,LFPG,27:06:18.15,33:22:14.17,41.51685,-67.766544,41229.0,170690.84284077073,93
280710832,280710832,eastbound,B78X,KLAX,EHAM,27:06:20.32,31:45:38.62,62.190413,-65.178797,41100.0,206225.81150045607,62
280711458,280711458,eastbound,B752,KMCO,BIKF,27:11:42.24,29:49:07.42,53.637771,-56.897941,40719.0,84154.95797977422,46
280722966,280722966,eastbound,B77L,TJBQ,EHAM,27:12:26.37,33:33:53.10,26.656076,-54.273077,40797.0,248436.54198301176,103
280711254,280711254,eastbound,A343,MROC,LSZH,27:13:23.44,33:59:08.78,26.539177,-53.908345,36968.0,225262.95472144417,73
280722696,280722696,eastbound,A339,KMIA,LIRF,27:13:53.64,33:33:24.96,34.223911,-60.719752,38632.0,215426.38667916332,81
